clubs,djs,genres
 Klub der Republik ,thc,alternative dance
 Klub der Republik ,rauschhaus,experimental house
 Klub der Republik ,cristianmarras-de,belgian hip hop
 Knaack club,triqi,deep soul house
 Knaack club,andyluff,schranz
 Knaack club,noirnor,progressive house
 Knaack club,abumhd,soundtrack
 Knaack club,rachelnoon,schranz
 Knaack club,niemandkeiner,opera
 Knaack club,ukioki,indietronica
 Knaack club,impurity,orchestral soundtrack
 Knaack club,djdivinity,microhouse
 Knaack club,orimoto,edm
 Kumpelnest 3000,bettercallpaul,dutch edm
 Kumpelnest 3000,lashaguruli,georgian electronic
 Kumpelnest 3000,francescodevincenti,supergroup
 Kumpelnest 3000,krlmx,techno
 Kumpelnest 3000,cryme,techno
 Kumpelnest 3000,cyranotauruscortex,pibroch
 Kumpelnest 3000,olympe4000,turkish trap
 Kumpelnest 3000,ossia,dance rock
 Kumpelnest 3000,mentalcarnival,soundtrack
 Kumpelnest 3000,maryanaklochko,danish electronic
 Kumpelnest 3000,sy-de,belgian indie
 Kumpelnest 3000,kristinvelvet,electronic trap
 Kumpelnest 3000,cormac,turkish hip hop
 Kumpelnest 3000,fabmassimo,industrial techno
 Kumpelnest 3000,mehrismehr,armenian pop
 L.U.X,alexkid,swedish hip hop
 L.U.X,robagwruhme,danish electropop
 L.U.X,klingklang,kurdish folk
 L.U.X,felixreichelt,disco house
 L.U.X,trotsky,georgian pop
 L.U.X,carloselma,downtempo
 L.U.X,jaxxtms,swedish hip hop
 L.U.X,kalipo,minimal dub
 L.U.X,faray,hamburg electronic
 L.U.X,makalea,german house
 La Belle (Diskothek),gabriellekwarteng,minimal dub
 La Belle (Diskothek),idadaugaard-de,armenian pop
 La Belle (Diskothek),pellenl,glitch
 La Belle (Diskothek),blissinc,arabesk
 La Belle (Diskothek),wiltedwoman,hungarian edm
 La Belle (Diskothek),dansolo,organic house
 La Belle (Diskothek),luvthang,conscious hip hop
 La Belle (Diskothek),marcelfengler,australian techno
 La Belle (Diskothek),isaacelejalde,turkish rock
 La Belle (Diskothek),infamousali,progressive house
 La Belle (Diskothek),markmohs,microhouse
 Leydicke,ruslanmays,coverchill
 Leydicke,minadalua,opera
 Leydicke,keex,armenian hip hop
 Leydicke,annina,belgian pop
 Leydicke,againstme,detroit house
 Leydicke,senergi,minimal dub
 Lido Berlin,tom-de,electronic trap
 Lido Berlin,shed,jazz cover
 Lido Berlin,adamaalias,supergroup
 Lido Berlin,cienfuegos,dance rock
 Lido Berlin,caiva,italo dance
 Lido Berlin,pulss,georgian pop
 Lido Berlin,yannik,swedish pop rap
 Lido Berlin,mareena_sonderbar,swedish hip hop
 Lido Berlin,djdripcore,minimal dub
 Lido Berlin,tobineumann,georgian pop
 Linientreu,kotoe,polish techno
 Linientreu,alienata,classical era
 Linientreu,isabella-us,georgian alternative
 Linientreu,ephypinkman,german dance
 Linientreu,stenny,chanson
 Linientreu,christopherkono,detroit house
 Linientreu,portugal,georgian electronic
 Linientreu,julianahuxtable,vapor twitch
 Linientreu,jackmaster,organic electronic
 M-BIA,squirespain,german dance
 M-BIA,peachonfuse,turkish pop
 M-BIA,tomasstation,shimmer pop
 M-BIA,future666,microhouse
 M-BIA,milastern,indietronica
 M-BIA,andydux,italo dance
 M-BIA,klex,canadian electronic
 M-BIA,loremipsumcrew,hungarian edm
 M-BIA,petduo,aussietronica
 M-BIA,carlberge,vapor twitch
 Magnet Club,bustinloose,bergen indie
 Magnet Club,hangaoki,turkish edm
 Magnet Club,patrickmason,georgian pop
 Magnet Club,lemsche,new french touch
 Magnet Club,agy3na,dance pop
 Magnet Club,lauradevasconcelos,german techno
 Magnet Club,younglychee,minimal techno
 Magnet Club,etcha,danish electronic
 Magnet Club,louissatori,australian house
 Maria am Ostbahnhof,djlag,georgian alternative
 Maria am Ostbahnhof,brunopronsato,east coast hip hop
 Maria am Ostbahnhof,eminahelena,golden age hip hop
 Maria am Ostbahnhof,svenvvonthulen,supergroup
 Maria am Ostbahnhof,romansvirsky,deep tropical house
 Maria am Ostbahnhof,jcow,kurdish folk
 Maria am Ostbahnhof,sandrino-de,czsk hip hop
 Maria am Ostbahnhof,cressida,armenian hip hop
 Maria am Ostbahnhof,nastyavogan,fotbollslatar
 Maria am Ostbahnhof,corium,turkish rock
 Maria am Ostbahnhof,trent,gen z singer-songwriter
 Matrix (club),simonsays,techno
 Matrix (club),p.e.a.r.l,industrial techno
 Matrix (club),vsk,dancehall chileno
 Matrix (club),djlycox,fotbollslatar
 Matrix (club),soundstream,lo-fi beats
 Matrix (club),panasiagirl,organic electronic
 Matrix (club),diamin,emo rap
 Matrix (club),parand,orchestral soundtrack
 Matrix (club),handmade,shimmer pop
 Matrix (club),alejandromosso,scottish fiddle
 Matrix (club),annaleevia,french indietronica
 Matrix (club),margaux,experimental techno
 Matrix (club),schacke,glitch
 Matrix (club),jiggler,alternative dance
 Miami (club),lorenzolacchesi,neo mellow
 Miami (club),ravnjonassen,organic electronic
 Miami (club),ireenamnes,ninja
 Miami (club),lenabrecht,turkish hip hop
 Miami (club),invaliduser,turkish pop
 Miami (club),steffi,belgian indie
 Miami (club),etappkyle,german tech house
 Miami (club),laurecroft,belgian hip hop
 Miami (club),martinlandsky,classical tenor
 Miami (club),adytoledano,auteur-compositeur-interprete quebecois
 Ostgut,lilianstark,focus beats
 Ostgut,androosh,australian pop
 Ostgut,jacqnoise,uk dancehall
 Ostgut,mira,deep tropical house
 Ostgut,amydabbs,frankfurt electronic
 Ostgut,lorisdettorre,indietronica
 Picknick Club,fr%C3%A6d,york indie
 Picknick Club,pilijo,deep soul house
 Picknick Club,andreasrauscher,australian pop
 Picknick Club,franziskaberns-de,golden age hip hop
 Picknick Club,tina-de,eurovision
 Picknick Club,gladee,lo-fi beats
 Picknick Club,miamangata,progressive house
 Picknick Club,freyak,anadolu rock
 Picknick Club,jakojako,kurdish folk
 Picknick Club,noisediva,organic electronic
 Prince Charles Berlin,meg10,electronica
 Prince Charles Berlin,djmellg,york indie
 Prince Charles Berlin,sibil-1,alternative hip hop
 Prince Charles Berlin,cosmiccherry,coverchill
 Prince Charles Berlin,oliverrosemann,italo dance
 Prince Charles Berlin,mieso,golden age hip hop
 Prince Charles Berlin,volruptus,ragga jungle
 Prince Charles Berlin,dianamay,york indie
 Prince Charles Berlin,jesseg,downtempo
 Prince Charles Berlin,raymann,belgian pop
 Prince Charles Berlin,lucid-fr,soundtrack
 Privatclub (Berlin),oscarwandel,frankfurt electronic
 Privatclub (Berlin),just_me,georgian alternative
 Privatclub (Berlin),melaniehavens,gangster rap
 Privatclub (Berlin),babyg,gangster rap
 Privatclub (Berlin),adrianernst,electro house
 Privatclub (Berlin),solidblake,detroit house
 Privatclub (Berlin),danilenko,mandible
 Privatclub (Berlin),tatiaumiel,gangster rap
 Privatclub (Berlin),kseniak,experimental house
 Privatclub (Berlin),sinport,anadolu rock
 Privatclub (Berlin),candypollard,slovak hip hop
 Privatclub (Berlin),giordano,auteur-compositeur-interprete quebecois
 Q-Dorf,lafontaine,danish techno
 Q-Dorf,nixe,nouvelle chanson francaise
 Q-Dorf,sanregret,electro-pop francais
 Q-Dorf,prz-1,emo rap
 Q-Dorf,jeanpierreenfant,chanson
 Q-Dorf,killa,neo-classical
 Q-Dorf,hanzo,classic french pop
 Q-Dorf,djt-1000,industrial techno
 Q-Dorf,arnejascha,belgian indie
 Quasimodo Charlottenburg,bertrand-it,belgian hip hop
 Quasimodo Charlottenburg,djspit-de,vapor twitch
 Quasimodo Charlottenburg,ariesfallenangel,rock uruguayo
 Quasimodo Charlottenburg,djlion,belgian hip hop
 RAW Tempel,amperia,fotbollslatar
 RAW Tempel,mathiasbirnbaum,lo-fi house
 RAW Tempel,uberkikz,new french touch
 RAW Tempel,modernabuse,neo mellow
 RAW Tempel,tobidei-de,classic french pop
 RAW Tempel,felixk,bluegrass fiddle
 RAW Tempel,stellazekri,mandible
 RAW Tempel,jennifertouch,ethnotronica
 RAW Tempel,electronicelephant,uk dancehall
 RAW Tempel,salome-de,experimental techno
 Ritter Butzke,bonnieford,opera
 Ritter Butzke,agatapl,minimal techno
 Ritter Butzke,ninaberg,orchestral soundtrack
 Ritter Butzke,katiusha,electro house
 Ritter Butzke,lissarroca,armenian hip hop
 Ritter Butzke,romare,turkish pop
 Ritter Butzke,mikag,fotbollslatar
 Ritter Butzke,hypnoize,hungarian edm
 Ritter Butzke,edna,gabba
 Ritter Butzke,eris,gangster rap
 SO36,annehou,techno
 SO36,retinait,violin
 SO36,arbitrage,east coast hip hop
 SO36,katkattat,polish techno
 SO36,moenagasi,danish electronic
 SO36,aliciacarrera,canadian electronic
 SO36,nikola,electro-pop francais
 SO36,tapefeed,classical
 SO36,natwendell,ethnotronica
 SO36,steveduncan,georgian pop
 Sage Club,elleb,fotbollslatar
 Sage Club,maikgyver,danish electronic
 Sage Club,jenskuhnemann,golden age hip hop
 Sage Club,omar-uy,australian house
 SchwuZ (club),spaceafrika,belgian indie
 SchwuZ (club),cuntremember,dutch edm
 SchwuZ (club),flavialaus,german dance
 SchwuZ (club),minorscience,techno
 SchwuZ (club),bestboyelectric,italo dance
 SchwuZ (club),taradud,gen z singer-songwriter
 SchwuZ (club),exterminador,glitch
 SchwuZ (club),abiba,pop dance
 SchwuZ (club),reka,pop
 SchwuZ (club),koma-1,compositional ambient
 Sisyphos (club),exildiscount,east coast hip hop
 Sisyphos (club),nickklein,chanson quebecois
 Sisyphos (club),akirahawks,dub techno
 Sisyphos (club),rickrichter,french indie pop
 Sisyphos (club),azutiwaline,australian electropop
 Sisyphos (club),kryn,dance pop
 Sisyphos (club),shintarokanie,bluegrass fiddle
 Sound (club),katdavids,coverchill
 Sound (club),juanybravo,organic electronic
 Sound (club),florayin-wong,acid techno
 Sound (club),sofiane,aussietronica
 Sound (club),nicopusch-de,happy hardcore
 Sound (club),omonbreaker,york indie
 Suicide Circus,gitteverfuehrt,belgian indie
 Suicide Circus,carlyzeng,soundtrack
 Suicide Circus,chloelula,belgian indie
 Suicide Circus,christianbrowne,arabesk
 Suicide Circus,idabux,lo-fi house
 Suicide Circus,benuebermensch,pop
 Suicide Circus,floreal-us,deep soul house
 Suicide Circus,nhouse,conscious hip hop
 Suicide Circus,rabihbeaini,turkish hip hop
 Suicide Circus,ethel,danish electronic
 Tresor Berlin,onnycho,gabba
 Tresor Berlin,joydelarosa-nl,deep soul house
 Tresor Berlin,bodra,georgian pop
 Tresor Berlin,philippstrobel,german techno
 Tresor Berlin,madmotormiquel,afro house
 Tresor Berlin,strongrain,rock uruguayo
 Tresor Berlin,nissa,coverchill
 Tresor Berlin,elissasuckdog,dub techno
 Tresor Berlin,grantgibson,hamburg electronic
 Tresor Berlin,dms,classical
 Tresor Berlin,yamour,industrial techno
 Tresor Berlin,imad,edm
 Tresor Berlin,paal,pop
 WMF Club,charlesgreen,industrial techno
 WMF Club,davidjach,polish techno
 WMF Club,romakhropko,industrial techno
 WMF Club,mondee,eurovision
 WMF Club,miamattiolo,german tech house
 WMF Club,skratch,deep soul house
 WMF Club,shimon,experimental house
 WMF Club,nikklaas,dancehall chileno
 WMF Club,kwaint,dutch edm
 WMF Club,alexanderskancke,vapor twitch
 Watergate (Berl3 F),cl-ca,turkish edm
 Watergate (Berl3 F),tatse,acid techno
 Watergate (Berl3 F),djkilling,intelligent dance music
 Watergate (Berl3 F),danieljaramillo,compositional ambient
 Watergate (Berl3 F),abrissandrej,chanson quebecois
 Watergate (Berl3 F),yungfya,neo mellow
 Watergate (Berl3 F),lucasvazz,swedish hip hop
 Watergate (Berl3 F),saramiller,nouvelle chanson francaise
 Watergate (Berl3 F),homeboy,modern reggae
 Weekend Club,legri,electro-pop francais
 Weekend Club,alexautomatik,bergen indie
 Weekend Club,franky-b,lo-fi chill
 Weekend Club,misterwillis,deep tropical house
 Wilde Renate,crexso,ninja
 Wilde Renate,slugos,pop dance
 Wilde Renate,nastykingkurl,gabba
 Wilde Renate,heimlichknuller,experimental techno
 Wilde Renate,uncnsrd,preschool children's music
 Wilde Renate,emanuelsatie,hungarian edm
 Wilde Renate,deralinea,preschool children's music
 Wilde Renate,caracarpaccio,bleep techno
 YAAM (club),marioworgall,modern reggae
 YAAM (club),uvb,classical
 YAAM (club),yasreven,german dance
 YAAM (club),aesztetik,classic french pop
 YAAM (club),nastia,chanson
 YAAM (club),loods-1,australian techno
 YAAM (club),nikisadeki-ca,australian house
 YAAM (club),pariah,alternative hip hop
 Zur Mobelfabrik,andyvotel,organic house
 Zur Mobelfabrik,caruan,chanson quebecois
 Zur Mobelfabrik,ellialtenberger,detroit house
 Zur Mobelfabrik,soukiewindish,orchestral soundtrack
 Zur Mobelfabrik,jeyoh,britpop
 Zur Mobelfabrik,marcschneider,deep tropical house
 Zur Mobelfabrik,ekka,german tech house
 Zur Mobelfabrik,felixschall,indietronica
 Zur Mobelfabrik,ruizosc1,danish electropop
 Zur Mobelfabrik,chrisavantgarde,arab electronic
 Zur Mobelfabrik,thabogetsome,turkish pop
