,clubs,genre
45, Quasimodo Charlottenburg,"belgian hip hop,vapor twitch,rock uruguayo,belgian hip hop"
46, RAW Tempel,"fotbollslatar,lo-fi house,new french touch,neo mellow,classic french pop,bluegrass fiddle,mandible,ethnotronica,uk dancehall,experimental techno"
47, Ritter Butzke,"opera,minimal techno,orchestral soundtrack,electro house,armenian hip hop,turkish pop,fotbollslatar,hungarian edm,gabba,gangster rap"
48, SO36,"techno,violin,east coast hip hop,polish techno,danish electronic,canadian electronic,electro-pop francais,classical,ethnotronica,georgian pop"
49, Sage Club,"fotbollslatar,danish electronic,golden age hip hop,australian house"
50, SchwuZ (club),"belgian indie,dutch edm,german dance,techno,italo dance,gen z singer-songwriter,glitch,pop dance,pop,compositional ambient"
51, Sisyphos (club),"east coast hip hop,chanson quebecois,dub techno,french indie pop,australian electropop,dance pop,bluegrass fiddle"
52, Sound (club),"coverchill,organic electronic,acid techno,aussietronica,happy hardcore,york indie"
53, Suicide Circus,"belgian indie,soundtrack,belgian indie,arabesk,lo-fi house,pop,deep soul house,conscious hip hop,turkish hip hop,danish electronic"
54, Tresor Berlin,"gabba,deep soul house,georgian pop,german techno,afro house,rock uruguayo,coverchill,dub techno,hamburg electronic,classical,industrial techno,edm,pop"
55, WMF Club,"industrial techno,polish techno,industrial techno,eurovision,german tech house,deep soul house,experimental house,dancehall chileno,dutch edm,vapor twitch"
56, Watergate (Berl3 F),"turkish edm,acid techno,intelligent dance music,compositional ambient,chanson quebecois,neo mellow,swedish hip hop,nouvelle chanson francaise,modern reggae"
57, Weekend Club,"electro-pop francais,bergen indie,lo-fi chill,deep tropical house"
58, Wilde Renate,"ninja,pop dance,gabba,experimental techno,preschool children's music,hungarian edm,preschool children's music,bleep techno"
59, YAAM (club),"modern reggae,classical,german dance,classic french pop,chanson,australian techno,australian house,alternative hip hop"
60, Zur Mobelfabrik,"organic house,chanson quebecois,detroit house,orchestral soundtrack,britpop,deep tropical house,german tech house,indietronica,danish electropop,arab electronic,turkish pop"
